frame,total_vehicles,cars,motorcycles,buses,trucks,bicycles,people,total_detections
frame_11324.jpg,34,16,0,18,0,0,3,37
frame_11328.jpg,35,20,0,15,0,0,3,38
frame_11332.jpg,40,21,0,17,2,0,2,42
frame_11336.jpg,36,20,0,14,2,0,3,39
frame_11340.jpg,33,18,0,14,1,0,2,35
frame_11344.jpg,35,19,0,14,2,0,3,38
frame_11348.jpg,34,18,0,14,2,0,2,36
frame_11352.jpg,35,18,0,16,1,0,3,38
frame_11356.jpg,33,18,0,14,1,0,0,33
frame_1136.jpg,43,35,1,6,1,0,2,45
frame_11360.jpg,37,20,0,16,1,0,0,37
frame_11364.jpg,35,20,0,14,1,0,1,36
frame_11368.jpg,32,19,1,10,2,0,2,34
frame_11372.jpg,29,14,0,13,2,0,2,31
frame_11376.jpg,32,18,1,11,2,0,2,34
frame_11380.jpg,30,20,0,8,2,0,2,32
frame_11384.jpg,35,24,0,8,3,0,1,36
frame_11388.jpg,28,17,0,9,2,0,2,30
frame_11392.jpg,35,25,0,8,2,0,1,36
frame_11396.jpg,34,18,0,14,2,0,2,36
frame_1140.jpg,41,33,1,7,0,0,2,43
frame_11400.jpg,35,18,1,14,2,0,3,38
frame_11404.jpg,33,19,0,14,0,0,2,35
frame_11408.jpg,40,21,3,15,1,0,2,42
frame_11412.jpg,35,21,2,11,1,0,2,37
frame_11416.jpg,40,25,2,11,2,0,1,41
frame_11420.jpg,29,15,1,11,2,0,1,30
frame_11424.jpg,35,19,1,14,1,0,2,37
frame_11428.jpg,27,14,0,12,1,0,1,28
frame_11432.jpg,29,18,0,11,0,0,1,30
frame_11436.jpg,29,14,2,12,1,0,1,30
frame_1144.jpg,45,36,0,6,3,0,3,48
frame_11440.jpg,29,12,1,14,2,0,1,30
frame_11444.jpg,29,15,0,12,2,0,1,30
frame_11448.jpg,33,17,3,11,2,0,1,34
frame_11452.jpg,32,17,2,11,2,0,1,33
frame_11456.jpg,32,15,1,13,3,0,1,33
frame_11460.jpg,28,14,0,12,2,0,1,29
frame_11464.jpg,35,19,0,14,2,0,1,36
frame_11468.jpg,35,21,1,13,0,0,1,36
